Title,DOI,Points
Higher-order interactions shape microbial interactions as microbial community complexity increases,https://doi.org/10.1038/s41598-022-25303-1,253
Higher-order interactions shape microbial interactions as microbial community complexity increases,https://doi.org/10.1101/2022.05.19.492721,253
The role of higher-order biotic interactions on tropical tree growth,,200
Advances in higher-order interactions between organisms,https://doi.org/10.17520/biods.2020217,159
Direct and higher-order interactions in plant communities under increasing weather persistence,https://doi.org/10.22541/au.168013272.22178343/v1,149
Beyond direct neighbourhood effects: higher-order interactions improve modelling and predicting tree survival and growth,https://doi.org/10.1093/nsr/nwaa244,122
Higher-order interactions among coinfecting parasites and a microbial mutualist impact disease progression,https://doi.org/10.1101/2021.03.25.437101,114
Competition Between Aquatic Insects and Vertebrates: Interaction Strength and Higher Order Interactions,https://doi.org/10.2307/1941637,88
VERTEBRATES: INTERACTION STRENGTH AND HIGHER ORDER INTERACTIONS1,,88
The existence and strength of higher order interactions is sensitive to environmental context,https://doi.org/10.1002/ecy.4156,76
Higher-Order Interactions and Indirect Effects: A Resolution Using Laboratory Drosophila Communities,https://doi.org/10.1086/285271,75
Defining Higher-Order Interactions in Synthetic Ecology: Lessons from Physics and Quantitative Genetics,https://doi.org/10.1016/j.cels.2019.11.009,69
The Chlamydia trachomatis PmpD adhesin forms higher order structures through disulphide-mediated covalent interactions,https://doi.org/10.1371/journal.pone.0198662,55
Higher Order Interactions in Ecological Communities: What Are They and How Can They be Detected?,https://doi.org/10.2307/1939614,0
Higher-Order Interactions Characterized in Cortical Activity,https://doi.org/10.1523/jneurosci.3127-11.2011,0
Markov Random Fields with Higher‐order Interactions,https://doi.org/10.1111/1467-9469.00113,0
Higher order interactions in complex networks of phase oscillators promote abrupt synchronization switching,https://doi.org/10.1038/s42005-020-00485-0,0
Synchronous Firing and Higher-Order Interactions in Neuron Pool,https://doi.org/10.1162/089976603321043720,0
The mechanistic basis for higher-order interactions and non-additivity in competitive communities,https://doi.org/10.1111/ele.13211,0
Temporal properties of higher-order interactions in social networks,https://doi.org/10.1038/s41598-021-86469-8,0
"Bivalve Growth and Higher Order Interactions: Importance of Density, Site, and Time",https://doi.org/10.2307/1938198,0
Synchronization in Hindmarsh–Rose neurons subject to higher-order interactions,https://doi.org/10.1063/5.0079834,0
Higher order interaction-induced effects on Rayleigh light scattering by molecular liquids,https://doi.org/10.1063/1.453614,0
Dynamical Symmetry and Higher-Order Interactions,https://doi.org/10.1103/physrevlett.83.4269,0
A post-Hartree-Fock model of intermolecular interactions: Inclusion of higher-order corrections,https://doi.org/10.1063/1.2190220,0
Higher order interactions in 23s rRNA.,https://doi.org/10.1073/pnas.89.11.5044,0
Higher-order interactions shape collective dynamics differently in hypergraphs and simplicial complexes,https://doi.org/10.1038/s41467-023-37190-9,0
Multilayer representation of collaboration networks with higher-order interactions,https://doi.org/10.1038/s41598-021-85133-5,0
Higher order interactions and species coexistence,https://doi.org/10.1007/s12080-020-00481-8,0
Synchronization induced by directed higher-order interactions,https://doi.org/10.1038/s42005-022-01040-9,0
