Index,Title,DOI,Points
0,Higher-order interactions shape microbial interactions as microbial community complexity increases,https://doi.org/10.1038/s41598-022-25303-1,228
0,Higher-order interactions shape microbial interactions as microbial community complexity increases,https://doi.org/10.1101/2022.05.19.492721,228
2,TRAIT-MEDIATED INDIRECT INTERACTIONS IN A SIMPLE AQUATIC FOOD WEB,https://doi.org/10.1890/0012-9658(1997)078[1146:tmiiia]2.0.co;2,189
2,Trait-Mediated Indirect Interactions in a Simple Aquatic Food Web,https://doi.org/10.2307/2265865,189
0,The role of higher-order biotic interactions on tropical tree growth,,183
2,"Biogeography, macroecology and species' traits mediate competitive interactions in the order<scp>L</scp>agomorpha",https://doi.org/10.1111/mam.12035,168
2,Pollinator‐Mediated Interactions Affect Patterns of Selection on Floral Traits of Co‐Flowering Plants,https://doi.org/10.1002/ece3.71166,158
2,The role of trait-mediated indirect interactions for multispecies plant–animal mutualisms,https://doi.org/10.1017/cbo9780511736551.018,146
2,Trait-mediated indirect interactions in invasions: unique behavioral responses of an invasive ant to plant nectar,https://doi.org/10.1890/es11-00145.1,143
2,Ectomycorrhizal Fungal Communities and Their Functional Traits Mediate Plant–Soil Interactions in Trace Element Contaminated Soils,https://doi.org/10.3389/fpls.2018.01682,135
0,Advances in higher-order interactions between organisms,https://doi.org/10.17520/biods.2020217,134
0,Direct and higher-order interactions in plant communities under increasing weather persistence,https://doi.org/10.22541/au.168013272.22178343/v1,131
2,Susceptibility to Predation Affects Trait-Mediated Indirect Interactions by Reversing Interspecific Competition,https://doi.org/10.1371/journal.pone.0023068,127
2,Changes in algal community structure via density‐ and trait‐mediated indirect interactions in a marine ecosystem,https://doi.org/10.1890/12-0725.1,115
2,Arbuscular mycorrhizal interactions and nutrient supply mediate floral trait variation and pollinator visitation,https://doi.org/10.1111/nph.20219,114
2,"DIVERSE TRAIT-MEDIATED INTERACTIONS IN A MULTI-PREDATOR, MULTI-PREY COMMUNITY",https://doi.org/10.1890/0012-9658(2006)87[1131:dtiiam]2.0.co;2,113
3,Origin of the genic diversity of cultivated rice (Oryza spp.): study of the polymorphism scored at 40 isozyme loci.,https://doi.org/10.1266/jjg.57.25,109
2,"Linking agricultural practices, mycorrhizal fungi, and traits mediating plant–insect interactions",https://doi.org/10.1890/13-0156.1,107
2,"Natural enemy functional identity, trait-mediated interactions and biological control",https://doi.org/10.1017/cbo9780511736551.029,104
2,The aquatic moth Acentria ephemerella as a key species in submerged aquatic vegetation : direct and trait-mediated interactions with predators and food plants,,100
3,Community terminal restriction fragment length polymorphisms reveal insights into the diversity and dynamics of leaf endophytic bacteria,https://doi.org/10.1186/1471-2180-13-1,96
