Title,Abstract,DOI,Score
"Quantitative Trait Loci for Flowering, Plant and Ear Height, and Kernel Traits in Maize","The inheritance of quantitative traits is not well understood. A study was conducted to determine the number and chromosomal locations of quantitative trait loci (QTL) controlling male anthesis date; plant and ear height; kernel weight; and kernel protein, oil, and starch concentration in maize ( Zea mays L.). Two hundred S 1 lines were derived from a single F 1 plant from a cross of Illinois High Oil (IHO) by lllinois Low Oil (Early Maturity) [ILO(EM)]. Restriction fragment length polymorphism (RFLP) analysis was performed to determine RFLP genotypes of the 200 S 1 families at 80 polymorphic loci spaced on average 24 centimorgans throughout the genome. The 200 S 1 families were measured for phenotypic traits in replicated field trials during 1992 and 1993. Analysis of variance detected significant ( P &lt; 0.05) associations between several RFLP loci and each phenotypic trait. A total of 16 marker loci clustered in eight chromosomal regions were significantly associated with male anthesis date, 18 marker loci clustered in II regions were significantly associated with plant height, 14 marker loci clustered in nine regions were significantly associated with ear height, 27 marker loci clustered in II regions were associated with kernel weight, 16 marker loci clustered in eight regions were associated with protein concentration, 31 marker loci clustered in II regions were associated with oil concentration, and 28 marker loci clustered in 13 regions were associated with starch concentration. A number of QTL were detected in chromosomal regions where known gene loci of biological relevance are located.",https://doi.org/10.2135/cropsci1995.0011183x003500060004x,1
Root phenotypes of young wheat plants grown in controlled environments show inconsistent correlation with mature root traits in the field,"Abstract Using a field to lab approach, mature deep-rooting traits in wheat were correlated to root phenotypes measured on young plants from controlled conditions. Mature deep-rooting root traits of 20 wheat genotypes at maturity were established via coring in three field trials across 2 years. Field traits were correlated to phenotypes expressed by the 20 genotypes after growth in four commonly used lab screens: (i) soil tubes for root emergence, elongation, length, and branching at four ages to 34 days after sowing (DAS); (ii) paper pouches 7 DAS and (iii) agar chambers for primary root (PR) number and angles at 8 DAS; and (iv) soil baskets for PR and nodal root (NR) number and angle at 42 DAS. Correlations between lab and field root traits (r2=0.45–0.73) were highly inconsistent, with many traits uncorrelated and no one lab phenotype correlating similarly across three field experiments. Phenotypes most positively associated with deep field roots were: longest PR and NR axiles from the soil tube screen at 20 DAS; and narrow PR angle and wide NR angle from soil baskets at 42 DAS. Paper and agar PR angles were positively and significantly correlated to each other, but only wide outer PRs in the paper screen correlated positively to shallower field root traits. NR phenotypes in soil baskets were not predicted by PR phenotypes in any screen, suggesting independent developmental controls and value in measuring both root types in lab screens. Strong temporal and edaphic effects on mature root traits, and a lack of understanding of root trait changes during plant development, are major challenges in creating controlled-environment root screens for mature root traits in the field.",https://doi.org/10.1093/jxb/eraa201,1
Breed differences and genetic parameters for body composition traits in beef cattle,"The recent scientific literature was reviewed to summarize breed differences and genetic parameters for carcass traits in beef cattle. Heritability estimates were generally moderate to large, suggesting good potential for accurate genetic selection for a given individual carcass characteristic. However, effectiveness of multiple-trait selection for some trait combinations could be slowed by genetic antagonisms between traits, suggesting the use of terminal breeding systems with complementary sire and dam genetic types. Individual and maternal heterosis estimates from age-constant analyses were numerically positive for most carcass traits, although estimates from weight-constant analyses were generally nonsignificant. Potential contributions to improved carcass composition from crossbreeding would primarily result from genetic complementarity rather than heterosis. Considerable variation exists between breeds for body composition, and breed rankings vary across different traits. Studies have consistently indicated reduced meat tenderness for Bos indicus compared with Bos taurus breeds. Some differences in breed rankings for marbling vs tenderness were noted. If the U.S. beef industry shifts toward a more value-based marketing system, some genetic concerns will include 1) an apparent antagonistic relationship between marbling and cutability across breeds and within some breeds, 2) inconsistency of beef tenderness, particularly in Bos indicus cattle, 3) the effect of increased leanness on female reproductive performance, and 4) the extent to which terminal breeding systems can be used.",https://doi.org/10.2527/1994.72102745x,1
"Adjustments and coordination of hydraulic, leaf and stem traits along a water availability gradient","Trait variability in space and time allows plants to adjust to changing environmental conditions. However, we know little about how this variability is distributed and coordinated at different organizational levels. For six dominant tree species in northeastern Spain (three Fagaceae and three Pinaceae) we quantified the inter- and intraspecific variability of a set of traits along a water availability gradient. We measured leaf mass per area (LMA), leaf nitrogen (N) concentration, carbon isotope composition in leaves (δ13 C), stem wood density, the Huber value (Hv, the ratio of cross-sectional sapwood area to leaf area), sapwood-specific and leaf-specific stem hydraulic conductivity, vulnerability to xylem embolism (P50 ) and the turgor loss point (Ptlp ). Differences between families explained the largest amount of variability for most traits, although intraspecific variability was also relevant. Species occupying wetter sites showed higher N, P50 and Ptlp, and lower LMA, δ13 C and Hv. However, when trait relationships with water availability were assessed within species they held only for Hv and Ptlp. Overall, our results indicate that intraspecific adjustments along the water availability gradient relied primarily on changes in resource allocation between sapwood and leaf area and in leaf water relations.",https://doi.org/10.1111/nph.15684,1
Quantitative Trait Linkage Analysis of Lipid-Related Traits in Familial Type 2 Diabetes,"Macrovascular disease is a major complication of type 2 diabetes. Epidemiological data suggest that the risk of macrovascular complications may predate the onset of hyperglycemia. Hypertriglyceridemia, low levels of HDL cholesterol, and an atherogenic profile characterize the insulin resistance/metabolic syndrome that is also prevalent among nondiabetic members of familial type 2 diabetic kindreds. To identify the genes for lipid-related traits, we first performed a 10-cM genome scan using 440 markers in 379 members of 19 multiplex families ascertained for two diabetic siblings (screening study). We then extended findings for three regions with initial logarithm of odds (LOD) scores &amp;gt;1.5 to an additional 23 families, for a total of 576 genotyped individuals (extended study). We found heritabilities for all lipid measures in the range of 0.31 to 0.52, similar to those reported by others in unselected families. However, we found the strongest evidence for linkage of triglyceride levels to chromosome 19q13.2, very close to the ApoC2/ApoE/ApoC1/ApoC4 gene cluster (LOD 2.56) in the screening study; the LOD increased to 3.16 in the extended study. Triglyceride-to-HDL cholesterol ratios showed slightly lower LOD scores (2.73, extended family) in this same location. Other regions with LOD scores &amp;gt;2.0 included HDL linkage to chromosome 1q21-q23, where susceptibility loci for both familial type 2 diabetes and familial combined hyperlipidemia have been mapped, and to chromosome 2q in the region of the NIDDM1 locus. Neither region showed stronger evidence for linkage in the extended studies, however. Our results suggest that genes in or near the ApoE/ApoC2/ApoC1/ApoC4 cluster on 19q13.2 may contribute to the commonly observed hypertriglyceridemia and low HDL seen in diabetic family members and their offspring, and thus may be a candidate locus for the insulin resistance syndrome.",https://doi.org/10.2337/diabetes.51.2.528,1
"Age, Comorbidities, and AIDS Predict a Frailty Phenotype in Men Who Have Sex With Men","Background.Adults aging with HIV infection are at risk for age-related comorbidities and syndromes, such as frailty. The objective of this study was to evaluate the expression and predictors of the frailty phenotype (FP) among HIV-infected (HIV+) and HIV-uninfected (HIV−) men who have sex with men.",https://doi.org/10.1093/gerona/glt148,1
Field evidence of trait‐mediated indirect interactions in a rocky intertidal food web,"Studies on the implications of food web interactions to community structure have often focused on density‐mediated interactions between predators and their prey. This approach emphasizes the importance of predator regulation of prey density via consumption (i.e. lethal effects), which, in turn, leads to cascading effects on the prey’s resources. A more recent and contrasting view emphasizes the importance of non‐lethal predator effects on prey traits (e.g. behaviour, morphology), or trait‐mediated interactions. On rocky intertidal shores in New England, green crab ( Carcinus maenas ) predation is thought to be important to patterns of algal abundance and diversity by regulating the density of herbivorous snails ( Littorina littorea ). We found, however, that risk cues from green crabs can dramatically suppress snail grazing, with large effects on fucoid algal communities. Our results suggest that predator‐induced changes in prey behaviour may be an important and under‐appreciated component of food web interactions and community dynamics on rocky intertidal shores.",https://doi.org/10.1046/j.1461-0248.2002.00304.x,1
Quantitative trait loci (QTLs) for quality traits related to protein and starch in wheat,"Quality traits in wheat (Triticum aestivum L.) were studied by quantitative trait locus (QTL) analysis in a recombinant inbred line (RIL) population, a set of 131 lines derived from Chuan 35050 × Shannong 483 cross (ChSh). Grains from RILs were assayed for 21 quality traits related to protein and starch. A total of 35 putative QTLs for 19 traits with a single QTL explaining 7.99–40.52% of phenotypic variations were detected on 10 chromosomes, 1D, 2A, 2D, 3B, 3D, 5A, 6A, 6B, 6D, and 7B. The additive effects of 30 QTLs were positive, contributed by Chuan 35050, the remaining 5 QTLs were negative with the additive effect contributed by Shannong 483. For protein traits, 15 QTLs were obtained and most of them were located on chromosomes 1D, 3B and 6D, while 20 QTLs for starch traits were detected and most of them were located on chromosomes 3D, 6B and 7B. Only 7 QTLs for protein and starch traits were co-located in three regions on chromosomes 1D, 2A and 2D. These protein and starch trait QTLs showed a distinct distribution pattern in certain regions and chromosomes. Twenty-two QTLs were clustered in 6 regions of 5 chromosomes. Two QTL clusters for protein traits were located on chromosomes 1D and 3B, respectively, three clusters for starch traits on chromosomes 3D, 6B and 7B, and one cluster including protein and starch traits on chromosome 1D.",https://doi.org/10.1016/j.pnsc.2007.12.013,1
Altered imprinted gene methylation and expression in completely ES cell-derived mouse fetuses: association with aberrant phenotypes,"In vitro manipulation of preimplantation mammalian embryos can influence differentiation and growth at later stages of development. In the mouse, culture of embryonic stem (ES) cells affects their totipotency and may give rise to fetal abnormalities. To investigate whether this is associated with epigenetic alterations in imprinted genes, we analysed two maternally expressed genes (Igf2r, H19) and two paternally expressed genes (Igf2, U2af1-rs1) in ES cells and in completely ES cell-derived fetuses. Altered allelic methylation patterns were detected in all four genes, and these were consistently associated with allelic changes in gene expression. All the methylation changes that had arisen in the ES cells persisted on in vivo differentiation to fetal stages. Alterations included loss of methylation with biallelic expression of U2af1-rs1, maternal methylation and predominantly maternal expression of Igf2, and biallelic methylation and expression of Igf2r. In many of the ES fetuses, the levels of H19 expression were strongly reduced, and this biallelic repression was associated with biallellic methylation of the H19 upstream region. Surprisingly, biallelic H19 repression was not associated with equal levels of Igf2 expression from both parental chromosomes, but rather with a strong activation of the maternal Igf2 allele. ES fetuses derived from two of the four ES lines appeared developmentally compromised, with polyhydramnios, poor mandible development and interstitial bleeding and, in chimeric fetuses, the degree of chimerism correlated with increased fetal mass. Our study establishes a model for how early embryonic epigenetic alterations in imprinted genes persist to later developmental stages, and are associated with aberrant phenotypes.",https://doi.org/10.1242/dev.125.12.2273,1
Trait bandwidth and stages of job performance: Assessing differential effects for conscientiousness and its subtraits.,"This study examined relationships with job performance at different stages of employee tenure for a broad personality measure (conscientiousness) and 2 more narrow subtraits (order and achievement). Conscientiousness exhibited a consistent relationship with performance for employees in both the transition stage (newly hired employees) and the maintenance stage (veteran employees). In contrast, the more narrow subtraits exhibited differential relationships. Order correlated more strongly with performance in the transition stage, whereas achievement correlated more strongly in the maintenance stage. In the respective samples, order and achievement also provided incremental validity beyond conscientiousness.",https://doi.org/10.1037/0021-9010.84.6.959,1
"Influence of Bulk and Nanoparticles Titanium Foliar Application on some Agronomic Traits, Seed Gluten and Starch Contents of Wheat Subjected to Water Deficit Stress","Titanium (Ti) is a very interesting chemical element, especially physiologically. Although Ti is not toxic for animals and humans, its effects on plants show remarkable concentration dependence. Whereas for plants, it shows beneficial effects on various physiological parameters at low doses. This study was conducted to evaluate the effect of bulk and nanoparticles titanium foliar. Application on some agronomic traits, seed gluten and starch contents of wheat under water deficit stress conditions during 2010-2011 growing seasons. The experimental design was randomized in complete blocks arranged in split-split plots with four replications. The factors included normal irrigation, water deficit stress (irrigation withholding at two growing stages of stem elongation and flowering), two growing stages for water deficit stress induction and titanium applications, five titanium concentrations, sources including control of titanium oxide (bulk), and three concentrations of 0.01%, 0.02%, and 0.03% of titanium dioxide nanoparticles. Plant height, ear weight, ear number, seed number, 1000-seed weight, final yield, biomass, harvest index, gluten, and starch contents were assayed. The results showed that water deficit stress caused significant decrease in plant growth, yield and yield components. In addition, among the different titanium treatments, titanium dioxide nanoparticles at 0.02% increased almost all agronomic traits including gluten and starch content. Thus, the application of titanium dioxide nanoparticles under conditions of water deficit stress is recommended.",https://doi.org/10.15835/nbha4119093,1
Personality development from 12 to 18 years of age: changes in mean levels and structure of traits,"The Estonian NEO‐FFI was administered to 2650 Estonian adolescents (1420 girls and 1230 boys) aged from 12 to 18 years and attending 6th, 8th, 10th, or 12th grade at secondary schools all over Estonia. Although the mean levels of personality traits of Estonian adolescents were quite similar to the respective scores of Estonian adults, there was a developmental gap in Agreeableness and Conscientiousness. Three of the five personality dispositions demonstrated a modest cross‐sectional change in the mean level of the trait scores: the level of Openness increased and the levels of Agreeableness and Conscientiousness decreased between 12 and 18 years of age. Although the five‐factor structure of personality was already recognizable in the sample of 12‐year‐old children, it demonstrated only an approximate congruence with the adult structure, suggesting that not all children of that age have developed abilities required for observing one's own personality dispositions and for giving reliable self‐reports on the basis of these observations. The self‐reported personality trait structure matures and becomes sufficiently differentiated around age 14–15 and grows to be practically indistinguishable from adult personality by the age of 16. Personality of adolescents becomes more differentiated with age: along with the growth of mental capacities the correlations among the personality traits and intelligence become smaller. Copyright © 2004 John Wiley &amp; Sons, Ltd.",https://doi.org/10.1002/per.524,1
New alleles in calpastatin gene are associated with meat quality traits in pigs1,"Suggestive QTL affecting raw firmness scores and average Instron force, tenderness, juiciness, and chewiness on cooked meat were mapped to pig chromosome 2 using a three-generation intercross between Berkshire and Yorkshire pigs. Based on its function and location, the calpastatin (CAST) gene was considered to be a good candidate for the observed effects. Several missense and silent mutations were identified in CAST and haplotypes covering most of the coding region were constructed and used for association analyses with meat quality traits. Results demonstrated that one CAST haplotype was significantly associated with lower Instron force and cooking loss and higher juiciness and, therefore, this haplotype is associated with higher eating quality. Some of the sequence variation identified may be associated with differences in phosphorylation of CAST by adenosine cyclic 3′, 5′-monophosphate-dependent protein kinase and may in turn explain the meat quality phenotypic differences. The beneficial haplotype was present in all the commercial breeds tested and may provide significant improvements for the pig industry and consumers because it can be used in marker-assisted selection to produce naturally tender and juicy pork without additional processing steps.",https://doi.org/10.2527/2004.82102829x,1
Phenotype of arylsulfatase A-deficient mice: Relationship to human metachromatic leukodystrophy,"Metachromatic leukodystrophy is a lysosomal sphingolipid storage disorder caused by the deficiency of arylsulfatase A. The disease is characterized by progressive demyelination, causing various neurologic symptoms. Since no naturally occurring animal model of the disease is available, we have generated arylsulfatase A-deficient mice. Deficient animals store the sphingolipid cerebroside-3-sulfate in various neuronal and nonneuronal tissues. The storage pattern is comparable to that of affected humans, but gross defects of white matter were not observed up to the age of 2 years. A reduction of axonal cross-sectional area and an astrogliosis were observed in 1-year-old mice; activation of microglia started at 1 year and was generalized at 2 years. Purkinje cell dendrites show an altered morphology. In the acoustic ganglion numbers of neurons and myelinated fibers are severely decreased, which is accompanied by a loss of brainstem auditory-evoked potentials. Neurologic examination reveals significant impairment of neuromotor coordination.",https://doi.org/10.1073/pnas.93.25.14821,0
