DOI,Title,Abstract,ID,Is Ecology,Ecology Score
https://doi.org/10.1038/s41467-022-30469-3,Dynamic character displacement among a pair of bacterial phyllosphere commensals in situ,"Differences between species promote stable coexistence in a resource-limited environment. These differences can result from interspecies competition leading to character shifts, a process referred to as character displacement. While character displacement is often interpreted as a consequence of genetically fixed trait differences between species, it can also be mediated by phenotypic plasticity in response to the presence of another species. Here, we test whether phenotypic plasticity leads to a shift in proteome allocation during co-occurrence of two bacterial species from the abundant, leaf-colonizing families Sphingomonadaceae and Rhizobiaceae in their natural habitat. Upon mono-colonizing of the phyllosphere, both species exhibit specific and shared protein functions indicating a niche overlap. During co-colonization, quantitative differences in the protein repertoire of both bacterial populations occur as a result of bacterial coexistence in planta. Specifically, the Sphingomonas strain produces enzymes for the metabolization of xylan, while the Rhizobium strain reprograms its metabolism to beta-oxidation of fatty acids fueled via the glyoxylate cycle and adapts its biotin acquisition. We demonstrate the conditional relevance of cross-species facilitation by mutagenesis leading to loss of fitness in competition in planta. Our results show that dynamic character displacement and niche facilitation mediated by phenotypic plasticity can contribute to species coexistence. In this study, the concept of dynamic character displacement among interacting bacterial species from leaf-colonizing families was empirically tested using a proteomics approach. A phenotypic shift towards the utilization of alternative carbon sources was observed during coexistence, thereby minimizing niche overlap.",0250d8de5a0511b8e5f8f4625211ed02b4a6fbdc,True,0.9537636041641236
https://doi.org/10.1038/srep24369,Fine-scale behavioural differences distinguish resource use by ecomorphs in a closed ecosystem,"Temporal differences in habitat use and foraging specialisms between ecomorphs represent aspects of behavioural phenotype that are poorly understood with regard to the origin and maintenance of ecological diversity. We tested the role of behaviour in resource use divergence of two Arctic charr (Salvelinus alpinus) phenotypes, a slim, putatively pelagic-dwelling morph and a robust, putatively littoral-dwelling generalist morph, over an annual cycle, using biotelemetry and stable isotopes. Pelagic morph charr exhibited significantly greater δC13 depletion, concordant with increased zooplanktivory, than for the Littoral morph. Although three-dimensional space-use of the morphs strongly overlapped, on average, the Littoral morph used that habitat 19.3% more than the Pelagic morph. Pelagic morph fish were significantly more active, further from the lake bed and at greater depth than Littoral fish (annual means respectively, Pelagic, 0.069BLs−1, 8.21 m and 14.11 m; Littoral, 0.047BLs−1, 5.87 m and 10.47 m). Patterns of habitat use differed between ecomorphs at key times, such as during autumn and at ice break, likely related to spawning and resumption of intensive foraging respectively. Extensive space-use overlap, but fine-scale differences in habitat use between charr ecomorphs, suggests the importance of competition for generating and maintaining polymorphism, and its potential for promoting reproductive isolation and evolution in sympatry.",04aea2d671ba70122f0c2e0dde8c95e54b84608a,True,0.9881508946418762
https://doi.org/10.3390/d17060421,Seed Traits and Curculio Weevil Infestation: A Study in Quercus mongolica,"Exploring host preference and resource partitioning among seed predator species is essential for understanding the coexistence mechanisms and guiding effective forest pest management. This study aimed to elucidate how seed traits influence infestation dynamics and species interactions, focusing on acorn weevils infesting Quercus mongolica. Species identification and clarification of their evolutionary relationships within the Curculio genus were performed through phylogenetic analyses of the mitochondrial cytochrome c oxidase subunit I gene sequences. The seed infestation patterns were assessed by comparing the infestation rates across various seed size classes. Furthermore, the correlations between the seed morphological traits (length, width, aspect ratio, and weight) and weevil abundance were analyzed. The phylogenetic results revealed well-supported monophyletic clades corresponding to Curculio arakawai and Curculio sikkimensis. This confirmed the clear genetic separation between these two distinct weevil species, thereby substantiating the divergence observed in weevil populations correlated with different seed hosts. The infestation patterns revealed the association of weevil species-specific preferences with seed size: C. arakawai predominantly infested larger acorn seeds, whereas C. sikkimensis predominantly infested smaller acorn seeds. C. sikkimensis favored smaller ones. Both species exhibited positive correlations between abundance and seed length and width in larger seeds; however, the seed weight displayed no significant effect. These results indicate niche differentiation mediated by seed size and morphology, which likely reduced interspecific competition and facilitated coexistence. This study elucidates species-specific host selection patterns in acorn weevils and highlights acorn traits as crucial factors shaping seed predator assemblages. The findings provide valuable insights for developing targeted pest management strategies and supporting sustainable oak forest regeneration.",07808f9ca2a186d5d649471839944b8f2ca81202,True,0.9918982982635498
https://doi.org/10.1098/rspb.2022.1838,Biotic interactions shape trait assembly of marine communities across time and latitude,"Assembly processes are highly dynamic with biotic filters operating more intensely at local scales, yet the strength of biotic interactions can vary across time and latitude. Predation, for example, can be stronger at lower latitudes, while competition can intensify at later stages of assembly due to resource limitation. Since biotic filters act upon functional traits of organisms, we explored trait-mediated community assembly in diverse marine assemblages from four regions along the Pacific coast of North and Central America. Using predator exclusion experiments and two assembly stages, we tested the hypotheses that non-random trait patterns would emerge during late assembly at all regions due to competition and at lower latitude regions regardless of assembly stage due to predation. As expected, trait divergence occurred in late assembly but only at higher latitude regions, while in tropical Panama, relaxed predation caused trait divergence during late assembly. Moreover, colonizing trait strategies were common during early assembly while competitive strategies were favoured during late assembly at higher latitude regions. Predation-resistant traits were only favoured in Panama during both assembly stages. Our large-scale manipulative study demonstrates that different biotic interactions across time and latitude can have important consequences for trait assembly.",0b1b88cdf20ca66859eec1b9d8f8b08138980548,True,0.9765257835388184
https://doi.org/10.1242/jeb.224824,Conspecific chemical cues drive density-dependent metabolic suppression independently of resource intake,"ABSTRACT Within species, individuals of the same size can vary substantially in their metabolic rate. One source of variation in metabolism is conspecific density – individuals in denser populations may have lower metabolism than those in sparser populations. However, the mechanisms through which conspecifics drive metabolic suppression remain unclear. Although food competition is a potential driver, other density-mediated factors could act independently or in combination to drive metabolic suppression, but these drivers have rarely been investigated. We used sessile marine invertebrates to test how food availability interacts with oxygen availability, water flow and chemical cues to affect metabolism. We show that conspecific chemical cues induce metabolic suppression independently of food and this metabolic reduction is associated with the downregulation of physiological processes rather than feeding activity. Conspecific cues should be considered when predicting metabolic variation and competitive outcomes as they are an important, but underexplored, source of variation in metabolic traits. Summary: Conspecific chemical cues induce metabolic suppression independently of food, and this metabolic reduction is associated with the downregulation of physiological processes rather than feeding activity.",0c5dd6ad9fe6509c596895205ae2a66e9a3c5a5d,True,0.9000982046127319
https://doi.org/10.1371/journal.pone.0029487,Selection against Accumulating Mutations in Niche-Preference Genes Can Drive Speciation,"Our current understanding of sympatric speciation is that it occurs primarily through disruptive selection on ecological genes driven by competition, followed by reproductive isolation through reinforcement-like selection against inferior intermediates/heterozygotes. Our evolutionary model of selection on resource recognition and preference traits suggests a new mechanism for sympatric speciation. We find speciation can occur in three phases. First a polymorphism of functionally different phenotypes is established through evolution of specialization. On the gene level, regulatory functions have evolved in which some alleles are conditionally switched off (i.e. are silent). These alleles accumulate harmful mutations that potentially may be expressed in offspring through recombination. Second mating associated with resource preference invades because harmful mutations in parents are not expressed in the offspring when mating assortatively, thereby dividing the population into two pre-zygotically isolated resource-specialist lineages. Third, silent alleles that evolved in phase one now accumulate deleterious mutations over the following generations in a Bateson-Dobzhansky-Muller fashion, establishing a post-zygotic barrier to hybridization.",0e25a18b01af535f7a0fb2621719700201751362,True,0.9805545210838318
https://doi.org/10.1371/journal.pcbi.1013245,Evolution of foraging behaviour induces variable complexity-stability relationships in mutualist-exploiter-predator communities,"Early ecological theory predicts that complex ecological networks are unstable and are unlikely to persist, despite many empirical studies of such complexity in nature. This inconsistency has fascinated ecologists for decades. To resolve the complexity-stability debate, coupling population dynamics and trait dynamics is considered to be an important way to understand the long-term stability of ecological community assemblages. However, we still do not know how eco-evolutionary feedbacks affect the relationship between complexity and stability in ecologically realistic networks with both antagonistic and mutualistic interactions. Here, we explored an adaptive network model to evaluate how the evolution of foraging preference to determine the relationship between network complexity (i.e., connectance) and stability (i.e., community persistence at steady state) in mutualist-exploiter-predator communities (MEST). Our theoretical results showed: (i) adaptive foraging of the top predator contributes to the stability of mutualism and intermediate intensity of foraging adaptations can lead to chaotic dynamics in a four-species MEST community; (ii) the complexity-stability relationship may show positive monotonic, negative monotonic, peaked and double-peaked patterns in general MEST communities, while the double-peaked pattern is only obtained when both the adaptation intensity and interspecific competition are high. Furthermore, model predictions may be consistent with both the negative monotonic pattern revealed in freshwater communities and the peaked pattern revealed in marine communities. Finally, we infer that foraging adaptations of the top predator may alter positive or/and negative feedback loops (trait-mediated indirect effects) to affect the stability of general MEST communities. Our adaptive network framework may provide an effective way to address the complexity-stability debate in real ecosystems.",0e76d546d355fe15e230cae355a0ac49bc386933,True,0.9951501488685608
https://doi.org/10.1073/pnas.2103162118,Growth–defense trade-offs shape population genetic composition in an iconic forest tree species,"Significance Genetic diversity is critical for ecological resilience and is maintained when different traits are advantageous in different environments. Traits are not entirely independent, however: When trade-offs occur, selection on one trait may indirectly act on another. Here we examine how environmentally mediated selection for growth interacts with a trade-off between growth and herbivore defense in experimental aspen stands. We show that even an environmentally fixed trait trade-off can lead to real-time divergence in population genetic composition between environments. The underlying growth–defense trade-off led to an eco-evolutionary dynamic wherein high-competition environments selected for fast-growing trees and thus ultimately selected against herbivore resistance. This discovery reveals how patterns of genetic covariation, coupled with environmental variation, can link ecological and evolutionary processes. All organisms experience fundamental conflicts between divergent metabolic processes. In plants, a pivotal conflict occurs between allocation to growth, which accelerates resource acquisition, and to defense, which protects existing tissue against herbivory. Trade-offs between growth and defense traits are not universally observed, and a central prediction of plant evolutionary ecology is that context-dependence of these trade-offs contributes to the maintenance of intraspecific variation in defense [Züst and Agrawal, Annu. Rev. Plant Biol., 68, 513–534 (2017)]. This prediction has rarely been tested, however, and the evolutionary consequences of growth–defense trade-offs in different environments are poorly understood, especially in long-lived species [Cipollini et al., Annual Plant Reviews (Wiley, 2014), pp. 263–307]. Here we show that intraspecific trait trade-offs, even when fixed across divergent environments, interact with competition to drive natural selection of tree genotypes corresponding to their growth–defense phenotypes. Our results show that a functional trait trade-off, when coupled with environmental variation, causes real-time divergence in the genetic architecture of tree populations in an experimental setting. Specifically, competitive selection for faster growth resulted in dominance by fast-growing tree genotypes that were poorly defended against natural enemies. This outcome is a signature example of eco-evolutionary dynamics: Competitive interactions affected microevolutionary trajectories on a timescale relevant to subsequent ecological interactions [Brunner et al., Funct. Ecol. 33, 7–12 (2019)]. Eco-evolutionary drivers of tree growth and defense are thus critical to stand-level trait variation, which structures communities and ecosystems over expansive spatiotemporal scales.",14c9352609fd2cfb8e78eddf51613281890ad75b,True,0.9931265711784364
https://doi.org/10.1371/journal.pbio.2003563,Contrasting impacts of competition on ecological and social trait evolution in songbirds,"Competition between closely related species has long been viewed as a powerful selective force that drives trait diversification, thereby generating phenotypic diversity over macroevolutionary timescales. However, although the impact of interspecific competition has been documented in a handful of iconic insular radiations, most previous studies have focused on traits involved in resource use, and few have examined the role of competition across large, continental radiations. Thus, the extent to which broad-scale patterns of phenotypic diversity are shaped by competition remain largely unclear, particularly for social traits. Here, we estimate the effect of competition between interacting lineages by applying new phylogenetic models that account for such interactions to an exceptionally complete dataset of resource-use traits and social signaling traits for the entire radiation of tanagers (Aves, Thraupidae), the largest family of songbirds. We find that interspecific competition strongly influences the evolution of traits involved in resource use, with a weaker effect on plumage signals, and very little effect on song. Our results provide compelling evidence that interspecific exploitative competition contributes to ecological trait diversification among coexisting species, even in a large continental radiation. In comparison, signal traits mediating mate choice and social competition seem to diversify under different evolutionary models, including rapid diversification in the allopatric stage of speciation.",15ab0c31c232d716ffe48f6a25eac008e2bbe64c,True,0.9780389666557312
https://doi.org/10.1002/ece3.71466,Effect of Resource Abundance on Woodland Rodents' Demography at Latitudinal Extremes in Europe,"ABSTRACT Climate change effects on primary productivity are especially evident along altitudinal and latitudinal gradients. Some of the species with a fast reproductive cycle strategy and relying on primary productivity may rapidly respond to such changes with alterations to demographic parameters. However, how these bottom‐up effects may emerge in systems with different population dynamics has not been elucidated. We aimed to assess the role of food availability on rodent demography in populations characterised by different dynamics, that is multiannual cycles in Northern European populations and mast‐driven outbreaks in Southern European populations, both driven by intrinsic and extrinsic factors. We live‐trapped woodland rodents at these latitudinal extremes in two study systems (Norway, Italy) while deploying control/treatment designs of food manipulation providing ad libitum trophic resource availability, albeit not reflecting the natural resource fluctuations. We applied a multistate open robust design model to estimate population patterns and survival rates while controlling for seasonal variation, intrinsic traits, and co‐occurrence of sympatric species. Yellow‐necked and wood mouse (Apodemus spp.) were sympatric with bank vole ( Clethrionomys glareolus ) in Italy, while only the latter was trapped in Norway. Food provisioning increased both survival and population size of bank vole in Norway, where temperatures are harsher and snow cover persists in winter. In milder Italian habitats, the wood mouse abundance was boosted by food availability, increasing also survival rates (but only in females), whereas the bank vole showed a decrease in both parameters across sexes. We speculate that overabundant food resources may trigger some forms of competition between sympatric wood mouse and bank vole, although other types of interactions, such as predation and parasitism, may also contribute. By manipulating food availability in two systems where rodents have different population dynamics, we showed how resource availability exerted bottom‐up effects on rodent demography, especially in the context of climate change, although being mediated by other intrinsic and extrinsic factors.",1639ff2351a63e233b9d163e7c2cadf5c1d82cbf,True,0.9423165917396544
